id_conf,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ,rank_AdG_3KPZ,ECR_1DB1_new,ECR_3KPZ_new
CHEMBL1504661_5,O=C(N)c1ccc(\N=C\2/c3cc([N+](=O)[O-])ccc3N=C/2[O-])cc1,-62.5753,-15.562,-14.448516,-11.963503,-20.858021,-19.68825,-99.041565,-99.8526,-4.3175449,-5.1031418,2307,0.003723033,0.000633604
CHEMBL1504661_7,O=C(N)c1ccc(\N=C\2/c3cc([N+](=O)[O-])ccc3N=C/2[O-])cc1,-62.8166,-15.5626,-14.448516,-11.963503,-20.858021,-19.68825,-99.041565,-99.8526,-4.3175449,-5.1031418,2308,0.003713038,0.000631904
C11730466_6,Brc1ccc(cc1)-c1n(nnc1S(=O)(=O)c1ccc(cc1)C)-c1cc(ccc1)C(=O)[O-],-89.0028,-17.3236,-14.412823,-14.517036,-24.205832,-22.864826,-108.40173,-114.53983,-7.6174898,-6.9851222,623,0.006155983,0.004813433
C11730466_1,Brc1ccc(cc1)-c1n(nnc1S(=O)(=O)c1ccc(cc1)C)-c1cc(ccc1)C(=O)[O-],-89.0517,-17.3126,-14.412823,-14.517036,-24.205832,-22.864826,-108.40173,-114.53983,-7.6174898,-6.9851222,622,0.006139514,0.004812818
CHEMBL466792_17,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@H](\C=C\C[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-116.027,-19.876,-14.395455,-14.277034,-40.988682,-39.600536,-103.78707,-117.73358,-9.8505535,-8.900589,49,0.011317655,0.01021309
CHEMBL4105311_15,OC(CC)(CC)C#Cc1ccc(cc1C)C(CC)(CC)c1cc(n(c1)CC)C(=O)NCC[NH+](CC)CC,-127.143,-15.686,-14.369524,-12.403878,-35.970039,-34.863132,-97.660782,-105.88183,-2.645771,-4.4486327,2802,0.008342212,0.003986391
CHEMBL3747395_8,O(C[C@@H](O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1n(CC)c(cc1)C(=O)Nc1ccc(OCC)cc1,-125.029,-16.8993,-14.345968,-14.026255,-34.688675,-31.268566,-89.272301,-90.358772,1.085892,4.7699189,4770,0.00729355,0.003584485
C93273108_29,OCCn1nc(C)c(CN2CC[NH+](CC2)Cc2cn(nc2)-c2ccccc2)c1C,-110.393,-16.9414,-14.33943,-11.235962,-30.530802,-28.815247,-100.28291,-101.57626,-6.0487471,-5.0827932,2328,0.005527715,0.000537595
C12952669_85,s1c2nc(cc(c2c(N)c1C(=O)NCc1ccc(F)cc1)C(F)(F)F)Cc1cc(OC)c(OC)cc1,-109.818,-13.8944,-14.331292,-12.611638,-28.395561,-30.559156,-93.935913,-103.73341,-1.6897947,-2.3340428,3568,0.004047453,0.002485338
C02383613_1,Brc1cc(CNc2cc(Cl)ccc2C(F)(F)F)c(O)c(OC)c1,-88.9308,-16.3242,-14.301944,-11.90359,-21.108246,-21.87641,-83.967201,-89.971283,-7.2593493,-5.6555214,1756,0.003465956,0.000389793
C02383613_8,Brc1cc(CNc2cc(Cl)ccc2C(F)(F)F)c(O)c(OC)c1,-88.8203,-16.3195,-14.301944,-11.90359,-21.108246,-21.87641,-83.967201,-89.971283,-7.2593493,-5.6555214,1755,0.003456572,0.000390831
CHEMBL2171449_23,O(Cc1cc(CO)c(cc1)CO)c1cc(-c2ccc(cc2CCC)C(O)(CC)CC)c(cc1)CC,-120.456,-13.2205,-14.282808,-12.121309,-32.510586,-31.391356,-110.88724,-116.56294,-5.5661349,-1.4050373,3811,0.008385003,0.003825432
C17085968_4,Brc1cc(Br)c(O)cc1[C@H]1NC(=O)c2c3CC[C@H](Cc3sc2N1)C(C)(C)C,-84.5836,-19.22,-14.262197,-14.484117,-26.353703,-24.857864,-92.191032,-96.957207,-5.4703431,-6.7204032,815,0.002836871,0.003082536
C12401720_4,S\1C=2N(C(N)=C(C#N)[C@H](C=2C#N)c2ccc(cc2)C(C)C)C(=O)/C/1=C/c1ccc(cc1)C(C)C,-92.0901,-15.0493,-14.231593,-14.557171,-33.132542,-32.235897,-86.677071,-96.811539,-5.9796352,-5.671689,1736,0.004401922,0.004339251
C97947960_33,Brc1cc(cc(OCC)c1[O-])-c1scc(n1)CSc1nnc(n1C)-c1cc2OCOc2cc1,-103.118,-15.2787,-14.165926,-15.181362,-25.840891,-26.521517,-87.636734,-106.56944,-1.7643942,0.79587591,4287,0.002819874,0.003414462
C36026098_13,S(Cc1ccc(cc1)C(=O)NCC(C)C)c1[nH+]c(cc(n1)N(CCc1cc(OC)c(OC)cc1)C)C,-113.218,-10.8264,-14.148268,-11.882879,-29.482874,-30.428579,-87.287697,-86.661034,7.1564608,3.8045328,4678,0.004183904,0.001075803
CHEMBL1834893_8,O(C[C@H](O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(O[C@H](CCO)CO)cc1,-129.412,-17.7109,-14.135417,-12.576077,-33.066322,-33.346989,-93.928436,-119.8406,-3.6638758,-4.6696796,2652,0.007281907,0.00546609
