id,smiles,ECR_1DB1,ECR_3KPZ
VDRML23006,O(C(CCO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(-c2ccc(cc2C)C(C)C)c(O)cc1,0.001657268,5.31E-28
VDRML1548,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(ON2C(O)=C2O)=O)cc1,0.001499559,0.000408677
VDRML1180,O(C(CCO)CO)c1ccc(cc1C)C(CC)(C)c1cc(C)c(OCC(Oc2ccccc2C)CO)cc1,0.001356856,1.85E-46
VDRML18842,O(C(CCO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC=CC=CC)cc1,0.001227734,2.97E-74
VDRML875,FC(F)(F)C(O)(C=CC=C(COC)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C(F)(F)F,0.0011109,1.04E-18
VDRML6155,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CCON)(CC)C=1N(CC)C=1C(=O)Nc1ccc(OCC)cc1,0.001155527,2.16E-105
VDRML11801,FC(F)(F)C(C(O)COc1cc(ccc1)C(CC)(C)c1cc(C)c(OC(CCO)CO)cc1)(C)C,0.000909528,1.12E-05
VDRML15868,O(C(=O)CNC(=O)c1ccc(cc1)C(N)(CO)c1n(CC)c(O)c(c1)C)C1(O)NC1,0.000822975,3.76E-10
VDRML7314,ClC[Si](CC)(c1cc(C)c(OCC(=O)CC(C)C)cc1)c1ccc(OCCOC)cc1,0.000744658,9.13E-44
VDRML1547,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)N2C(O)=C2O)cc1,0.08254687,0.141113827
VDRML6593,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(cc1)CCCC(O)=O,0.000609675,3.58E-30
VDRML15673,FC(CCC(O)C)(C=CC=C(CC)c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C,0.00059578,3.92E-27
VDRML874,FC(F)(F)C(O)(C=CC=C(COC)c1cc(ccc1)CCc1cc(CO)c(OCO)cc1)C(F)(F)F,0.000499193,0.000111378
VDRML12443,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)CCCO)cc1,0.000526317,1.27E-08
VDRML4176,FC(F)(F)C(C(O)=C1C=C(CC1)c1cc(OCc2cc(CO)c(cc2)CO)ccc1)C(F)(F)F,0.030528098,0.007427358
VDRML10013,O(c1ccc(cc1C)C(O)(C)c1cc(C)c(OC(CCO)CO)cc1)c1ccc(cc1C)C(CC)(C)C,0.000369786,1.87E-49
VDRML5778,O(CC(O)C(C)(C)C)c1cc(ccc1)C(CC)(CC)c1cc(C)c(cc1)COCCC(O)CO,0.000334597,0.000183633
VDRML20169,FC(F)(F)c1ccc(cc1CCc1cc(C)c(OCCO)cc1)C(CC(O)C(F)(F)F)CC,0.000302762,0.000369788
