id,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ
CHEMBL466792,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@H](\C=C\C[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-141.076,-19.9506,-17.285406,-17.400385,-41.477875,-39.600536,-107.94745,-117.73358,-9.8505535,-8.9042749
C23259752,S(c1cc(ccc1C)C)c1ccc(NC(=O)CN([C@H](C)c2ccc(S(=O)(=O)N)cc2)C)cc1,-107.23,-14.246,-16.107096,-13.606252,-27.582472,-28.424725,-96.561241,-101.35796,-1.2071028,0.14615133
C20572491,Brc1cc2c(nc(cc2C(=O)N\N=C(\C)/c2ccc(cc2)C(C)(C)C)-c2ccc(O)cc2)cc1,-76.3943,-8.61233,-15.893099,-15.338774,-30.21213,-28.344488,-78.726929,-103.93408,-4.9740057,-7.0889826
CHEMBL2171448,FC(F)(F)C(O)(\C=C\C=C(/CC)\c1cc(OCc2cc(CO)c(cc2)CO)ccc1)C(F)(F)F,-130.371,-17.8947,-15.83713,-14.932643,-30.462063,-29.043121,-116.84748,-118.76686,-8.7104368,-10.318846
CHEMBL226380,FCC=C1[C@H](O)CC(C[C@H]1O)=C\C=C/1\[C@@H]2CC[C@H]([C@H](CCCC(O)(C)C)C)[C@]2(CCC\1)C,-138.8,-19.9061,-15.819595,-16.172329,-39.056965,-37.274292,-113.59689,-131.4781,-8.4143095,-10.642583
C63102638,O(C)c1ccc(cc1)[C@@H](CNC(=O)CN1CCC(=CC1)c1ccc(O)cc1)C=1C[NH+]=C2C=1C=CC=C2,-111.897,-16.0842,-15.571835,-14.707158,-31.76576,-31.692736,-112.81124,-135.09827,-5.0625982,-6.8851495
C72021404,S(=O)(=O)(NCCOC)c1ccc(cc1)C(=O)NCC1(CCCCC1)c1ccc(F)cc1,-111.278,-17.9481,-15.422687,-14.369291,-30.918659,-28.423613,-97.844856,-107.39296,-1.9818491,-1.5072315
C19454453,O=C(N1CCC(CC1)c1nc2CCNCc2cn1)CCn1cc[nH+]c1C(C)C,-98.4028,-15.9878,-15.408757,-13.889527,-33.175503,-33.384583,-101.63203,-115.05401,-6.5631609,-6.2549558
C63428579,Brc1c([O-])c(cc(Br)c1[O-])\C=N\C=1C=CC2=[NH+][C@@H]([NH+]=C2C=1)c1ccc(F)cc1,-87.7839,-17.3123,-15.359363,-15.016136,-25.653385,-23.520252,-105.22237,-107.32198,-7.9089651,-7.1201568
C91954054,S1(=O)(=O)C[C@@H](NC(=O)CN(Cc2cn(nc2)-c2ccc(F)cc2)C)CC1,-100.226,-16.918,-15.35457,-14.281246,-28.296339,-26.843393,-105.26736,-113.24129,-7.0892253,-6.627852
C20693792,S(=O)(=O)(NCCc1ccccc1)c1cc2[C@H]3[C@@H](CC=C3)[C@@H](Nc2cc1)c1cccc(OC)c1O,-115.772,-18.6081,-15.342257,-14.165262,-33.222736,-31.728256,-101.62783,-118.76635,-5.1624551,-8.3804808
C39854026,Brc1cc(c2N(Cc3cc(OC)c(OCCCCC)cc3)C(=O)/C(=N\[O-])/c2c1)C,-108.593,-18.1359,-15.311625,-14.08736,-29.390692,-28.679346,-97.071426,-120.97517,-5.1763296,-4.8521442
