id,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ
C97947960,Brc1cc(cc(OCC)c1[O-])-c1scc(n1)CSc1nnc(n1C)-c1cc2OCOc2cc1,-107.044,-15.9305,-15.274021,-15.495609,-30.22673,-27.645144,-103.23812,-109.33807,-2.0268199,-3.989995
C58846716,S(=O)(=O)(Nc1cc(cc(c1)C)C)c1cc2[C@@H]3[C@@H](CC=C3)[C@H](Nc2cc1)c1ccc(OC(C)C)cc1,-107.768,-18.1299,-15.192512,-15.665772,-32.569862,-32.606888,-93.794991,-113.19534,-4.9463177,-5.5608511
C40885178,Brc1cc(cc(OC)c1[O-])\C=C\1/SC(=S)N(CC(OCCCC)=O)C/1=O,-104.248,-15.8404,-15.142691,-14.517879,-27.31292,-26.908089,-103.82574,-104.35979,-5.8943753,-5.879559
C15945756,Ic1cc(cc(OC)c1O)[C@H]1N=C(O)c2c3CC[C@H](Cc3sc2N1)C(CC)(C)C,-80.7758,-19.2477,-15.140974,-12.824899,-26.508581,-27.517479,-78.333916,-93.767746,-3.0385277,-4.3523664
C02357429,Brc1ccc(Nc2nnc(c3c2cccc3)-c2cc(S(=O)(=O)NC(CO)(C)C)c(cc2)C)cc1,-102.858,-18.7916,-15.133018,-14.634137,-30.567533,-30.517839,-110.56001,-128.07021,-4.4831772,-7.1947713
CHEMBL467212,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@@H](\C=C\[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-134.082,-19.9719,-15.081632,-14.163008,-41.744068,-40.322704,-118.48676,-114.52727,-7.7884002,-7.5432301
CHEMBL3263871,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@@H](CC#C[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-138.606,-19.9632,-14.992019,-14.028036,-40.507275,-40.435726,-90.763397,-115.7683,-6.256042,-7.1376481
CHEMBL494338,O[C@H]1C[C@H](O)C\C(=C\C=C/2\[C@@H]3CC=C([C@]3(CCC\2)C)C2(CC2)CCCC(O)(C)C)\C1=C,-120.923,-17.7125,-14.964109,-14.103037,-37.707733,-36.79557,-116.77316,-122.75201,-10.832928,-10.760774
C98046205,s1cccc1[C@H]1N2C(S\C(=C\c3cc(OC)c(OC(F)F)cc3)\C2=O)=NC(C)=C1/C(/[O-])=N/c1ccccc1C,-89.1936,-9.57488,-14.931059,-14.75201,-31.927008,-30.640802,-143.31046,-145.01498,-6.8500619,-7.2989688
C19893734,O(Cc1ccccc1)c1ccccc1[C@@H]1Nc2c([C@@H]3[C@H]1CC=C3)cc(cc2)C(O)=O,-106.957,-18.6063,-14.835866,-15.086105,-29.616488,-29.551462,-112.3091,-115.9664,-9.0301065,-9.3525286
C20690023,S(=O)(=O)(NCCc1ccccc1)c1cc2[C@H]3[C@@H](CC=C3)[C@H](Nc2cc1)c1cc(O)c(OC)cc1,-113.156,-18.5786,-14.81046,-14.918333,-30.948753,-31.378006,-101.30822,-120.97913,-5.1874804,-5.8801813
C20877067,Brc1cc(cc(OC)c1OC[C@@H](O)c1cc2OCOc2cc1)C[NH2+]C1CCCCCC1,-110.989,-16.7235,-14.809686,-15.004401,-33.997959,-33.819393,-125.02412,-115.5504,-6.6117411,-7.5260916
CHEMBL4080769,Oc1cc2CC[C@H]3[C@@H]4CC[C@H]([C@@H](CCCC(O)(C)C)C)[C@]4(CC[C@@H]3c2cc1)C,-104.609,-19.9064,-14.719544,-14.244985,-37.73872,-34.980942,-99.44664,-108.23382,-11.074577,-10.886903
C39516002,O=C(N1CCc2c(C1)cnc(C)c2CNC(=O)\C=C\c1ccccc1)C=1CN=NC=1,-105.45,-17.868,-14.702494,-13.125648,-31.983147,-30.25053,-112.81783,-127.23611,-8.7548094,-10.232519
C58848142,Clc1cc(NS(=O)(=O)c2cc3[C@@H]4[C@@H](CC=C4)[C@H](Nc3cc2)c2ccc(OC)cc2)c(cc1)C,-104.252,-18.3534,-14.685395,-14.974969,-30.737749,-31.000687,-112.76676,-115.25042,-6.9411268,-8.1913948
CHEMBL2171447,FC(F)(F)C(O)(\C=C\C=C(/CC)\c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C(F)(F)F,-136.565,-17.2614,-14.679453,-15.796568,-32.770115,-31.104719,-121.2533,-135.6001,-10.597769,-11.329794
CHEMBL409470,O1[C@H](CC(=C)C1=O)C[C@H](C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C/2=C\C=C1C[C@@H](O)C(=C)[C@H](O)C1)C,-122.595,-19.9316,-14.631825,-15.018579,-37.307812,-35.759003,-130.40097,-120.87611,-9.902317,-10.034232
C97961079,Brc1c(\C=N\NC(=O)[C@H]2C[C@@H]2c2ccc(cc2)C(C)(C)C)c(Br)cc(Br)c1O,-90.8488,-16.961,-14.58994,-14.524528,-30.72842,-28.564215,-105.85226,-117.33436,-7.4684434,-6.5063338
C12952669,s1c2nc(cc(c2c(N)c1C(=O)NCc1ccc(F)cc1)C(F)(F)F)Cc1cc(OC)c(OC)cc1,-112.981,-16.1278,-14.587268,-14.464069,-30.607525,-30.559156,-123.52201,-131.15302,-7.9063954,-8.3805103
CHEMBL452878,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@H](\C=C\C[C@@H](O)CC34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-134.85,-19.8308,-14.480176,-13.74732,-38.361618,-38.812408,-77.358437,-92.780998,-0.50353575,-3.3938944
CHEMBL1504661,O=C(N)c1ccc(\N=C\2/c3cc([N+](=O)[O-])ccc3N=C/2[O-])cc1,-67.0601,-16.3657,-14.448516,-12.400968,-22.302664,-21.455536,-99.918495,-102.95068,-5.6924658,-5.8968177
C11730466,Brc1ccc(cc1)-c1n(nnc1S(=O)(=O)c1ccc(cc1)C)-c1cc(ccc1)C(=O)[O-],-89.816,-17.3236,-14.412823,-14.517036,-25.081877,-24.730164,-108.40173,-114.53983,-7.6174898,-6.9851222
CHEMBL4105311,OC(CC)(CC)C#Cc1ccc(cc1C)C(CC)(CC)c1cc(n(c1)CC)C(=O)NCC[NH+](CC)CC,-131.426,-15.7625,-14.369524,-13.691534,-35.970039,-36.118664,-97.660782,-110.54883,-2.645771,-5.2498674
CHEMBL3747395,O(C[C@@H](O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1n(CC)c(cc1)C(=O)Nc1ccc(OCC)cc1,-126.561,-16.944,-14.345968,-14.921478,-34.688675,-33.945057,-101.17133,-109.97974,-1.041674,0.016743258
C93273108,OCCn1nc(C)c(CN2CC[NH+](CC2)Cc2cn(nc2)-c2ccccc2)c1C,-110.393,-17.0022,-14.33943,-12.162289,-32.285606,-30.242683,-101.31839,-116.86238,-6.0487471,-5.6445179
C02383613,Brc1cc(CNc2cc(Cl)ccc2C(F)(F)F)c(O)c(OC)c1,-89.355,-16.3704,-14.301944,-12.092436,-22.671793,-22.636118,-88.959656,-91.185326,-7.2593493,-6.2705069
CHEMBL2171449,O(Cc1cc(CO)c(cc1)CO)c1cc(-c2ccc(cc2CCC)C(O)(CC)CC)c(cc1)CC,-124.864,-13.4263,-14.282808,-13.569736,-32.510586,-32.450676,-121.83899,-130.22122,-6.0901246,-4.5655417
C09630910,Cl\C(=C/c1ccc(SC)cc1)\c1nc([O-])c2c(sc(C(OCCOC)=O)c2C)n1,-99.2791,-18.0967,-14.270093,-13.773244,-26.963644,-25.202747,-93.700264,-104.94833,-5.0049767,-5.5013943
C01413458,Clc1cc(Cl)ccc1[C@@H]1N(CCc2c3c([nH]c2)cccc3)C(=O)C(=O)C1=C(O)c1ccc(F)cc1,-91.5684,-14.3622,-14.269218,-14.00859,-27.938181,-26.716789,-95.818527,-110.95314,-5.5814486,-6.6508064
C17085968,Brc1cc(Br)c(O)cc1[C@H]1NC(=O)c2c3CC[C@H](Cc3sc2N1)C(C)(C)C,-84.99,-19.2971,-14.262197,-14.484117,-26.353703,-24.857864,-92.191032,-96.957207,-5.9997954,-6.7204032
C12401720,S\1C=2N(C(N)=C(C#N)[C@H](C=2C#N)c2ccc(cc2)C(C)C)C(=O)/C/1=C/c1ccc(cc1)C(C)C,-92.5486,-15.119,-14.231593,-14.557171,-33.132542,-33.254917,-93.243347,-99.583733,-6.3090835,-7.5263028
C13637714,O(CCOc1ccccc1)c1cc2[C@H]3[C@H](CC=C3)[C@@H](Nc2cc1)c1ccc(O)cc1,-110.982,-19.3594,-14.222425,-14.206394,-31.281019,-30.727491,-108.19337,-140.45456,-8.9806881,-8.8406382
C57313384,Clc1c2c(sc1C(=O)NC(C)(C)C)c(NC(=S)NC(=O)c1cc(OC)c(OC)cc1)ccc2,-85.0979,-18.7919,-14.212226,-14.377927,-27.173719,-27.140169,-106.25938,-120.97445,-3.8997505,-3.7287886
C93669079,O=C(C)c1ccc(N2CC[C@H]3[C@H](CCCC3)C2)cc1[O-],-91.1234,-19.9916,-14.185576,-12.480357,-26.110035,-25.313105,-91.412315,-98.661667,-9.0864563,-8.9128809
C39243134,Clc1ccc(cc1)C1=NC=2N(N[C@@H](C=2)C(=O)NCCc2c3cc(OC)ccc3[nH]c2)C(=C1)C(F)(F)F,-106.518,-16.482,-14.172651,-15.000163,-28.865932,-27.671768,-98.630859,-120.06406,-4.6263452,-5.1623139
C36026098,S(Cc1ccc(cc1)C(=O)NCC(C)C)c1[nH+]c(cc(n1)N(CCc1cc(OC)c(OC)cc1)C)C,-123.421,-13.5034,-14.148268,-15.853529,-32.411858,-30.854881,-95.858719,-112.80668,-1.032793,-0.60013151
C08427609,Brc1cc(Cl)cc(\C=N\Nc2nc(nc(n2)Nc2cc(ccc2)C(F)(F)F)N2CCOCC2)c1O,-77.6381,-19.2906,-14.143843,-14.170053,-25.460676,-26.214806,-101.07584,-104.27647,-0.5258249,-0.93078804
CHEMBL1834893,O(C[C@H](O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(O[C@H](CCO)CO)cc1,-130.962,-18.4518,-14.135417,-14.384463,-35.427834,-35.395466,-100.15428,-125.84253,-4.1780143,-5.2685833
C12781899,Clc1cc(ccc1)C1(CCCCC1)C(OCC(=O)N[C@H](C)c1ccc(S(=O)(=O)N)cc1)=O,-109.637,-16.0425,-14.1251,-15.543236,-27.888491,-28.053251,-107.98695,-126.2355,-6.4033651,-6.4153314
C03059393,Brc1c(\C=N\NC(=O)COc2cc3c(cc2)cccc3)c(Br)cc(Br)c1O,-97.1475,-18.6677,-14.072658,-14.082572,-25.039379,-24.303017,-105.12405,-118.50431,-6.8857174,-7.4507985
C01186905,S1\C(=C/c2ccc(cc2)CC)\C(=O)N(CCCC(=O)Nc2ccccc2C(=O)[O-])C1=S,-110.979,-16.1612,-14.060029,-13.93628,-30.399231,-30.020035,-112.80497,-113.2308,-6.7317095,-7.6704926
C38685456,Fc1ccc(O[C@@H](C(Oc2cc3OC(N)=C(C#N)[C@H](c3cc2)c2ccc(OCCCCC)cc2)=O)C)cc1,-116.869,-17.2977,-14.054287,-14.004856,-32.877213,-32.728924,-88.155861,-107.6202,-2.2269838,-4.160408
CHEMBL222195,O[C@H]1C[C@H](O)C\C(=C\C=C/2\[C@@H]3CC[C@H]([C@H]([C@@H](CCC(O)(C)C)CC)C)[C@]3(CCC\2)C)\C1=C,-123.498,-19.7145,-14.052317,-13.355484,-36.327015,-36.656437,-90.386482,-105.73557,-7.0951042,-8.3552113
CHEMBL2407826,O[C@H]1[C@@H](CCn2cc[nH+]c2)[C@H](O)C\C(=C\C=C/2\[C@@H]3CC[C@H]([C@@H](CCCC(O)(C)C)C)[C@]3(CCC\2)C)\C1=C,-149.021,-18.2729,-14.03742,-14.016156,-40.653343,-38.775963,-84.48999,-102.90131,-0.20750199,-2.0902698
C94907418,Cl[C@@H](C1(CCCC1)CC)c1cc2oc([O-])nc2cc1,-90.039,-19.206,-14.020437,-14.715702,-23.250713,-22.369062,-91.789444,-97.995033,-8.0201111,-7.9711785
C13637825,O(CCCc1ccccc1)c1cc2[C@H]3[C@@H](CC=C3)[C@@H](Nc2cc1)c1ccc(O)cc1,-111.351,-18.5783,-13.971457,-13.757538,-31.406326,-31.588802,-103.27386,-108.02992,-8.7794313,-10.367459
C15356872,Brc1cc(CNCCc2ccc(S(=O)(=O)N)cc2)c(OCc2sccc2)cc1,-106.386,-17.9555,-13.967948,-13.707383,-25.07622,-25.296471,-97.295006,-103.22728,-4.7201171,-7.0161805
C96269407,O1Cc2nc(cn2C[C@@H]1CNCc1ccncc1)-c1cc2OCCCOc2cc1,-109.485,-19.3224,-13.966013,-14.084313,-31.265669,-30.971745,-118.93129,-134.44435,-7.6326108,-7.9150615
C13655512,S1\C(=C/c2ccccc2F)\C(=O)N(CCCC(=O)N[C@@H]2C=CS(=O)(=O)C2)C1=S,-100.932,-16.1378,-13.922398,-12.991087,-27.938444,-27.714769,-111.43039,-113.60481,-6.7750974,-7.4876719
C20504402,Brc1cc(Br)cc(Br)c1N[C@H](CCc1ccc(O)cc1)C,-83.121,-17.258,-13.920273,-12.578773,-23.249657,-22.866491,-84.264679,-97.003639,-7.5428195,-8.0763407
C33546507,O(CC)c1cc(ccc1OCCCCC)[C@H]1N(Cc2cc[nH+]cc2)C(=O)C(O)=C1C(=O)c1ccc(cc1)C,-89.1151,-11.8295,-13.907388,-11.821842,-33.142265,-30.903601,-71.654343,-100.12161,-2.369215,0.064655684
C20701684,Clc1cc(Cl)cc([C@H]2Nc3c([C@@H]4[C@H]2CC=C4)cc(OCCC(C)C)cc3)c1O,-101.386,-19.3042,-13.903811,-12.233503,-31.020605,-30.034643,-88.707397,-105.98122,-7.2841687,-7.0709958
C32529620,s1cc(-c2ccc(cc2)C)c(C(=O)N)c1NC(=O)CCSc1nc2c(cc(cc2C)C)c(c1)C,-112.624,-15.4956,-13.883308,-13.758125,-29.083797,-29.385235,-99.902184,-120.15839,-5.4934955,-5.751483
C36378940,Oc1c2c(cc(O)c1C\C=C(\CC\C=C(\CCC=C(C)C)/C)/C)C(=O)N(C2)[C@@H](CCC(O)=O)C(=O)[O-],-120.915,-14.7726,-13.877222,-13.429399,-32.93317,-33.931404,-93.733406,-104.35702,-1.8272723,-2.2670414
C39700361,s1cccc1[C@@H](N1CCN(CC1)c1ccccc1OC)[C@@H](NC(=S)Nc1cccc(C)c1C)C,-107.008,-14.3141,-13.869891,-12.850523,-34.406269,-33.400898,-97.016068,-122.54965,-6.0061674,-7.9231658
C67898829,S(=O)(=O)(C)c1ccc(cc1)-c1nc([nH]c1)[C@H]1N(CCOC1)Cc1cccnc1,-105.822,-18.6339,-13.865752,-12.690784,-26.401272,-26.451778,-112.7704,-116.97534,-5.8129878,-5.9701233
CHEMBL3745849,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H](C#CC#C[C@@H](O)C34CC5CC(C3)CC(C4)C5)[C@]2(CCC\1)C,-111.485,-19.9928,-13.863467,-13.900119,-37.748459,-38.129131,-76.792145,-113.53499,-1.0998147,-7.2216239
C31904485,Clc1c(COc2ccc(cc2OC)\C=N/NC(=O)c2sc(nc2C)N)c(Cl)ccc1Cl,-92.6781,-16.942,-13.850948,-13.184384,-27.729794,-26.572601,-112.54498,-113.00184,-6.0695238,-6.3959455
C36056931,O=C(\C=C\C=1C=2[C@@H](N(C=1)C[C@H](O)CNCCc1c3cc(ccc3[nH]c1)C)CC=CC=2)c1ccccc1,-125.94,-17.2576,-13.832774,-12.927236,-32.95079,-31.248526,-99.71743,-90.88063,-7.3004265,-5.5421572
C08920871,Clc1ccccc1Cc1cc([C@@H]2N=C(O)c3c4CC[C@H](Cc4sc3N2)C(CC)(C)C)c(O)cc1,-104.32,-17.9417,-13.830056,-13.929893,-31.77212,-32.281094,-102.56787,-108.36009,-4.4512248,-4.9810381
C13549701,Brc1cc(Br)cc(\C=C\2/S\C(\NC/2=O)=N\c2ccccc2Cl)c1O,-74.8602,-15.1724,-13.803517,-13.602632,-22.160797,-20.136362,-95.232521,-98.654121,-6.6428885,-6.6530414
C12627508,Clc1c(NC(=O)[C@H](Sc2nc3cc(S(=O)(=O)N)ccc3n2CCC)C)cccc1Cl,-101.272,-15.9152,-13.798814,-13.093017,-25.30035,-22.458832,-91.412735,-117.03227,-2.1102827,-2.9949465
CHEMBL3263872,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@@H](CC#C[C@H](O)CC34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-137.292,-19.8832,-13.787999,-14.658721,-41.229237,-40.908913,-79.407951,-106.46534,0.7270357,-4.7899866
C12070210,s1c2c(CCN(C2)C(=O)C)c(C#N)c1NC(=O)Cc1ccc(S(=O)(=O)C(C)C)cc1,-110.475,-18.0761,-13.785301,-13.652345,-30.846069,-30.666174,-136.10684,-124.24693,-8.4328451,-7.3826613
C01294990,Brc1ccc(N2C(=O)\C(=C\c3c4c(n(c3)Cc3ccccc3F)cccc4)\C(=O)N=C2[O-])cc1,-100.208,-13.2177,-13.778086,-12.621277,-27.297314,-27.963514,-94.486206,-106.28638,-5.7509093,-6.5400834
C13347807,s1cccc1Cc1nnc(SCC(=O)NCc2ccc(cc2)C(=O)[O-])n1CCc1ccccc1,-121.345,-11.5352,-13.777678,-12.354105,-28.461845,-26.39311,-84.239502,-106.17921,-4.330256,-3.5106719
C02030067,O(CCCC)c1ccc(cc1)[C@@H]1CC(=O)C2=C(C1)c1c3c(ccc1N[C@H]2c1ccc(O)cc1)cccc3,-90.1643,-18.5997,-13.777166,-14.587676,-30.719231,-30.282442,-101.64713,-126.49536,-6.8791246,-5.2140145
C71498430,O(CCNC(=O)[C@@H]1CCC[NH+](C1)C1CCN(CC1)C(=O)CCn1cccc1)C,-106.167,-15.5488,-13.745614,-12.837103,-32.94099,-31.82316,-106.17095,-112.19916,-5.0606294,-5.1360788
C14457604,S(=O)(=O)(NCCc1ccccc1)c1cc2[C@@H]3[C@@H](CC=C3)[C@@H](Nc2cc1)c1c(cc(cc1C)C)C,-116.835,-18.5783,-13.745157,-12.235566,-32.195415,-33.734966,-98.16214,-118.34743,-6.3719101,-8.6670437
C34931922,o1cccc1CN1[C@H](C(C(=O)c2ccc(OCCC)cc2)=C(O)C1=O)c1cc(OCCC(C)C)ccc1,-103.612,-13.6411,-13.740972,-12.289439,-33.361641,-32.891731,-81.112701,-104.66896,-0.76251954,-0.19763145
C09508731,s1c(-c2ccc(cc2)C)c(nc1-c1ccccc1)CC(=O)NCCc1ccc(S(=O)(=O)N)cc1,-111.576,-16.219,-13.731955,-12.934419,-27.880705,-27.296543,-96.040306,-97.26104,-4.226862,-1.945094
C03031561,S(=O)(=O)(NCCC=1CCCCC=1)c1cc(C(=O)Nc2ccccc2OCC)c(F)cc1,-103.22,-19.92,-13.728981,-12.241139,-32.08601,-30.805634,-113.93506,-114.37775,-5.4880157,-5.6260147
C03663603,Clc1cc(Cl)cc(\C=N\c2cc3sc(SCC(=O)Nc4ccc(F)cc4)nc3cc2)c1O,-100.127,-15.7242,-13.72518,-13.413033,-26.936262,-26.669321,-85.875626,-106.8187,-6.8325381,-7.7578373
C20710546,S(=O)(=O)(NC(C)(C)C)c1cc2[C@@H]3[C@@H](CC=C3)[C@H](Nc2cc1)c1ccccc1OCc1ccccc1,-115.665,-18.5661,-13.722495,-13.154343,-33.000309,-32.861252,-98.5467,-101.78097,-2.6644008,-3.0952499
C04647202,S(=O)([O-])(=Nc1ccc(cc1)C(OCC(=O)N[C@@H](CCc1ccccc1)C)=O)c1cc2OCCOc2cc1,-116.518,-11.1115,-13.71642,-12.148888,-31.323977,-30.151661,-82.836212,-99.651848,-1.4709346,3.2538793
C19841093,Brc1cc(Cl)ccc1OCc1cc(ccc1OC)-c1c2CCCCc2nc(N)c1C#N,-89.2898,-16.3657,-13.702204,-12.828853,-27.163666,-24.906914,-91.418655,-113.63235,-4.3040671,-3.4812057
C59019320,Brc1cc(ccc1)COc1ccccc1\C=N\Nc1nnc(SCc2ccc(cc2)C)[n-]1,-107.86,-16.6722,-13.698957,-11.406317,-26.4708,-26.721193,-102.47259,-101.35785,-4.806797,-3.7561765
C88762330,O([C@H]1CCCCC[C@@H]1O)c1c(cc(cc1C)C#N)C,-77.2128,-17.0285,-13.679248,-10.391932,-25.39699,-25.207521,-93.54538,-92.872154,-7.0133424,-6.9324694
C33687049,S([C@H]([C@H](O)CCCC(O)=O)\C=C/C=C\C=C\C\C=C\CCCCC)c1ccc(cc1)C(=O)[O-],-127.218,-17.3248,-13.673178,-11.731368,-29.962481,-29.729294,-64.347412,-73.428825,-1.177808,0.38113901
C09969106,O(C)c1cc(ccc1OC)CC[NH2+]Cc1c2c(n(Cc3ccc(cc3)C=C)c1C(=O)[O-])cccc2,-122.844,-16.263,-13.650294,-13.880709,-31.453312,-29.752958,-88.346764,-96.714508,-2.5900457,-1.4076906
C06244525,S([C@H](C(=O)c1c2c([nH]c1)cccc2)c1ccccc1)c1nc2cc(S(=O)(=O)N)ccc2n1CCCC,-112.179,-14.9609,-13.647423,-14.043312,-26.106667,-25.085234,-122.46917,-123.67175,-8.9739609,-6.5547924
C38649739,Clc1cc(Cl)ccc1C(Oc1cc2OC(N)=C(C#N)[C@@H](c2cc1)c1ccc(cc1)C(C)(C)C)=O,-97.2856,-17.9186,-13.643847,-12.547675,-32.195953,-30.948343,-104.70176,-115.51917,-8.9067888,-8.3726835
C59310685,S(CC(=O)NCc1ccc(cc1)C(F)(F)F)c1nc([nH]n1)N\N=C(/C)\C12CC3CC(C1)CC(C2)C3,-111.656,-13.5679,-13.63735,-13.427538,-31.582535,-30.913328,-109.77157,-112.2559,-7.4979305,-5.9541216
C20750416,Clc1cccc(Cl)c1[C@H]1Nc2c([C@@H]3[C@H]1CC=C3)cc(S(=O)(=O)N[C@@H](CC)C)cc2,-104.118,-19.2957,-13.620458,-14.208344,-29.3771,-27.78721,-99.492599,-107.61344,-7.3711276,-8.8061352
C14654306,O1c2c(Oc3c(c(cc(O)c3O)CC(=O)CCCCC)C1=O)c(CCCCC)c(C(=O)[O-])c(O)c2,-97.2351,-15.1246,-13.603082,-12.356256,-30.838049,-30.645756,-83.139381,-94.614365,-3.4537868,-0.90454018
C15945785,Ic1cc(ccc1O)[C@@H]1N=C(O)c2c3CC[C@@H](Cc3sc2N1)C(CC)(C)C,-90.3603,-19.2377,-13.592556,-14.835888,-27.434444,-27.279152,-92.758392,-100.68494,-8.2804947,-7.3704224
C20528765,Brc1ccc(cc1)[C@H]1C2=C(OC(N)=C1C#N)\C(\CN(C2)C)=C\c1ccc(Br)cc1,-81.3446,-14.5795,-13.588682,-13.785924,-24.301546,-24.094599,-95.618561,-107.65108,-8.7970285,-8.8912964
C36275321,s1c(nnc1SCc1ccccc1)\N=C(/[O-])\c1oc(cc1)COc1ccc(F)cc1,-107.864,-16.6937,-13.580388,-13.744497,-26.141886,-26.17075,-96.45771,-102.85335,-4.8159723,-5.8963728
C58848188,Clc1cc(NS(=O)(=O)c2cc3[C@@H]4[C@@H](CC=C4)[C@H](Nc3cc2)c2ccc(cc2)C(C)(C)C)c(cc1)C,-101.192,-17.6973,-13.572895,-13.080162,-33.266899,-33.272232,-103.86909,-107.99891,-6.237287,-7.0743032
C34942856,Brc1cc(\C=C/2\SC(=S)N(CCCCCCCCCCC(=O)[O-])C\2=O)c(OC)cc1,-109.904,-10.692,-13.570981,-12.810497,-31.828382,-31.554401,-92.905426,-97.309921,-2.4392374,-3.0220985
C14546804,Clc1cccc(Cl)c1[C@@H]1Nc2c([C@@H]3[C@H]1CC=C3)cc(S(=O)(=O)NCCC)cc2,-112.035,-19.3064,-13.563831,-12.783235,-27.785294,-27.443413,-104.97795,-106.00539,-7.4427233,-7.2309837
