id,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ
VDRML6594,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(cc1)CCNC(O)=O,-125.664,-16.7949,-17.248993,-15.116543,-35.208717,-34.892609,-115.11549,-128.93155,-7.9497828,-8.3864241
VDRML1544,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)CC(O)CO)cc1,-130.705,-17.461,-17.121918,-17.622597,-35.673512,-33.85112,-124.51646,-132.30373,-8.8667536,-9.3473568
VDRML13066,FC(F)(F)C(O)(C=CC=Cc1cc(ccc1)C(CC)(CC)c1cc(C)c(OCCO)cc1)C(F)(F)F,-135.015,-18.67,-17.120865,-14.300059,-33.007496,-32.418324,-126.97794,-138.48085,-9.6252689,-9.305398
VDRML13185,O(CC(O)C(C)(C)C)c1ccc(OC(COc2ccc(cc2C)C(O)(CC)CO)CO)cc1C,-119.604,-19.2154,-17.116558,-16.700781,-34.283829,-33.976494,-112.89979,-130.05566,-4.0880837,-5.2993221
VDRML11786,FC(F)(F)C(O)(CC(C(CCO)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C)C(F)(F)F,-124.29,-17.5244,-17.077728,-15.987576,-30.039986,-29.701416,-114.15523,-123.29824,-8.0942783,-8.8535748
VDRML11794,FC(F)(F)C(C(O)Cc1cc(ccc1)C(C)c1cc(C)c(OC(CCO)CO)cc1)(CC)C(F)(F)F,-120.556,-17.8779,-17.061375,-14.1785,-35.858768,-33.11784,-115.86051,-127.42174,-8.7474375,-8.9879513
VDRML17921,FC(C(O)(C(O)C)C=CC=C(CCC)c1cc(OCc2cc(CO)c(cc2)CO)ccc1)CC,-127.101,-17.8312,-17.027323,-13.530622,-33.387226,-32.392502,-102.59352,-101.8135,-6.6076765,-6.4334307
VDRML11222,O(C(C)c1cc(C)c(OCC(CCO)CO)cc1)c1ccc(cc1C)C(O)(CC)C,-109.367,-18.4612,-17.026718,-15.318409,-35.323032,-32.876743,-116.46872,-122.53753,-8.2309074,-8.3869143
VDRML5777,O(CC(O)C(C)(C)C)c1ccc(cc1)C(CC)(CC)c1cc(C)c(cc1)COCCC(O)CO,-135.151,-18.1099,-17.000748,-16.844257,-36.274368,-34.296356,-113.3171,-131.52927,-4.0603409,-4.8518162
VDRML8575,O=C1C(=CC1=C(O)C=CC=C1C2CCC(C(CCCCOCC)C)C2(CCC1)C)C,-115.538,-19.9145,-16.996353,-14.806368,-37.169132,-35.102741,-112.54796,-113.12944,-8.6929569,-8.7254848
