id,smiles,ECR_1DB1,ECR_3KPZ
CHEMBL466792,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@H](\C=C\C[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,0.2492753,0.152969742
C23259752,S(c1cc(ccc1C)C)c1ccc(NC(=O)CN([C@H](C)c2ccc(S(=O)(=O)N)cc2)C)cc1,0.081873075,2.49E-06
C20572491,Brc1cc2c(nc(cc2C(=O)N\N=C(\C)/c2ccc(cc2)C(C)(C)C)-c2ccc(O)cc2)cc1,0.074081822,0.044932896
CHEMBL2171448,FC(F)(F)C(O)(\C=C\C=C(/CC)\c1cc(OCc2cc(CO)c(cc2)CO)ccc1)C(F)(F)F,0.09180532,0.063205357
CHEMBL226380,FCC=C1[C@H](O)CC(C[C@H]1O)=C\C=C/1\[C@@H]2CC[C@H]([C@H](CCCC(O)(C)C)C)[C@]2(CCC\1)C,0.14492877,0.191533357
C63102638,O(C)c1ccc(cc1)[C@@H](CNC(=O)CN1CCC(=CC1)c1ccc(O)cc1)C=1C[NH+]=C2C=1C=CC=C2,0.056108898,0.061601718
C72021404,S(=O)(=O)(NCCOC)c1ccc(cc1)C(=O)NCC1(CCCCC1)c1ccc(F)cc1,0.04965853,0.001356856
C19454453,O=C(N1CCC(CC1)c1nc2CCNCc2cn1)CCn1cc[nH+]c1C(C)C,0.044935388,0.000274342
C63428579,Brc1c([O-])c(cc(Br)c1[O-])\C=N\C=1C=CC2=[NH+][C@@H]([NH+]=C2C=1)c1ccc(F)cc1,0.040657561,0.033287108
C91954054,S1(=O)(=O)C[C@@H](NC(=O)CN(Cc2cn(nc2)-c2ccc(F)cc2)C)CC1,0.036788081,0.0011109
C20693792,S(=O)(=O)(NCCc1ccccc1)c1cc2[C@H]3[C@@H](CC=C3)[C@@H](Nc2cc1)c1cccc(OC)c1O,0.033292151,0.000464523
C39854026,Brc1cc(c2N(Cc3cc(OC)c(OCCCCC)cc3)C(=O)/C(=N\[O-])/c2c1)C,0.030119421,0.000385322
C97947960,Brc1cc(cc(OCC)c1[O-])-c1scc(n1)CSc1nnc(n1C)-c1cc2OCOc2cc1,0.027253181,0.04965853
C58846716,S(=O)(=O)(Nc1cc(cc(c1)C)C)c1cc2[C@@H]3[C@@H](CC=C3)[C@H](Nc2cc1)c1ccc(OC(C)C)cc1,0.024659699,0.060659839
C40885178,Brc1cc(cc(OC)c1[O-])\C=C\1/SC(=S)N(CC(OCCCC)=O)C/1=O,0.022313021,0.002472353
C15945756,Ic1cc(cc(OC)c1O)[C@H]1N=C(O)c2c3CC[C@H](Cc3sc2N1)C(CC)(C)C,0.020189652,1.03E-12
C02357429,Brc1ccc(Nc2nnc(c3c2cccc3)-c2cc(S(=O)(=O)NC(CO)(C)C)c(cc2)C)cc1,0.018359541,0.014530805
CHEMBL467212,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@@H](\C=C\[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,0.156333085,0.074490526
CHEMBL3263871,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@@H](CC#C[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,0.105272358,0.082056776
CHEMBL494338,O[C@H]1C[C@H](O)C\C(=C\C=C/2\[C@@H]3CC=C([C@]3(CCC\2)C)C2(CC2)CCCC(O)(C)C)\C1=C,0.113992411,0.083852335
C98046205,s1cccc1[C@H]1N2C(S\C(=C\c3cc(OC)c(OC(F)F)cc3)\C2=O)=NC(C)=C1/C(/[O-])=N/c1ccccc1C,0.102729385,0.099555537
C19893734,O(Cc1ccccc1)c1ccccc1[C@@H]1Nc2c([C@@H]3[C@H]1CC=C3)cc(cc2)C(O)=O,0.018474662,0.05290271
C20690023,S(=O)(=O)(NCCc1ccccc1)c1cc2[C@H]3[C@@H](CC=C3)[C@H](Nc2cc1)c1cc(O)c(OC)cc1,0.010025885,0.015079953
